ID,Director_id,DVDList_id
1,0000001,25047
2,0000001,72149
3,0000001,78374
4,0000002,9821
5,0000002,202991
6,0000002,178887
7,0000003,25058
8,0000003,53487
9,0000003,89195
10,0000003,106683
11,0000003,157152
12,0000003,190698
13,0000003,57157
14,0000003,189367
15,0000003,83814
16,0000003,88742
17,0000003,153927
18,0000004,7674
19,0000005,16396
20,0000005,50446
21,0000006,4458
22,0000006,60031
23,0000006,106714
24,0000006,49899
25,0000006,153706
26,0000007,615
27,0000007,109992
28,0000008,14957
29,0000008,14958
30,0000008,18517
31,0000008,18518
32,0000008,18519
33,0000008,18520
34,0000008,19915
35,0000008,19916
36,0000008,19917
37,0000008,20061
38,0000008,21697
39,0000008,21698
40,0000008,21699
41,0000008,21700
42,0000008,24152
43,0000008,24322
44,0000008,24431
45,0000008,24432
46,0000008,25896
47,0000008,25964
48,0000008,28890
49,0000008,28923
50,0000008,30483
51,0000008,30554
52,0000008,30557
53,0000008,32732
54,0000008,32757
55,0000008,32759
56,0000008,32793
57,0000008,33133
58,0000008,33141
59,0000008,36541
60,0000008,38556
61,0000008,38598
62,0000008,39410
63,0000008,40033
64,0000008,40050
65,0000008,40057
66,0000008,40075
67,0000008,41142
68,0000008,41176
69,0000008,43383
70,0000008,43398
71,0000008,47673
72,0000008,47685
73,0000008,50268
74,0000008,53005
75,0000008,55439
76,0000008,59231
77,0000008,62137
78,0000008,62367
79,0000008,62800
80,0000008,64664
81,0000008,69059
82,0000008,79727
83,0000008,83233
84,0000008,83244
85,0000008,85450
86,0000008,92746
87,0000008,93105
88,0000008,97421
89,0000008,97502
90,0000008,102253
91,0000008,104249
92,0000008,110757
93,0000008,124433
94,0000008,137086
95,0000008,140801
96,0000008,144579
97,0000008,148853
98,0000008,196209
99,0000008,204380
100,0000008,211008
101,0000008,214607
102,0000008,9796
103,0000008,20599
104,0000008,57125
105,0000008,116217
106,0000008,71066
107,0000008,73672
108,0000008,78373
109,0000008,81593
110,0000008,84910
111,0000008,126029
112,0000008,94352
113,0000008,98421
114,0000008,103507
